"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,1.40711462450593,0.300099614337413,1.45454545454545,0.727272727272727,1.90909090909091
"2",0,1,"2",19,1.62679425837321,0.228571514875327,1.63636363636364,1.09090909090909,2
"3",0,1,"3",13,1.67832167832168,0.242278510975893,1.63636363636364,1.36363636363636,2.09090909090909
"4",0,2,"1",24,1.51515151515152,0.181158222537665,1.54545454545455,1.18181818181818,1.81818181818182
"5",0,2,"2",11,1.53553719008264,0.306552532686928,1.63636363636364,1.09090909090909,1.90909090909091
"6",0,2,"3",5,1.56909090909091,0.20806070315739,1.54545454545455,1.3,1.81818181818182
"7",0,3,"1",22,1.47830578512397,0.264344219955223,1.45454545454545,0.909090909090909,1.90909090909091
"8",0,3,"2",19,1.45933014354067,0.241425374383598,1.45454545454545,1,1.81818181818182
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,1.06060606060606,0.2797086244658,1.09090909090909,0.636363636363636,1.45454545454545
"11",1,1,"2",5,1.17454545454545,0.477008584915035,1.36363636363636,0.363636363636364,1.6
"12",1,1,"3",5,1.07272727272727,0.561874077831362,1.27272727272727,0.181818181818182,1.63636363636364
"13",1,2,"1",3,0.909090909090909,0.157459164324443,0.818181818181818,0.818181818181818,1.09090909090909
"14",1,2,"2",2,1.31818181818182,0.192847303959965,1.31818181818182,1.18181818181818,1.45454545454545
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,1.11363636363636,0.388363806605344,1.13636363636363,0.636363636363636,1.54545454545455
"17",1,3,"2",2,0.863636363636363,0.5785419118799,0.863636363636363,0.454545454545455,1.27272727272727
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
